item,code,binlabel,codelabel,time,spoint,dura,flag,enable,bini_1,bini_2,bini_3,bini_4,bini_5,bini_6,bini_7,bini_8,bini_9,bini_10,bini_11,bini_12,bini_13,bepoch,channel,bvtime,bvmknum,visible
4,31,"B2,3,5,8,11,15,20,21,26,30,37,54,143(AFLP_fr_onset)",AFLP_fr_onset,4.376,2189,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,143,1,0,,4,
10,31,"B2,3,5,8,11,15,20,21,26,30,37,54,143(AFLP_fr_onset)",AFLP_fr_onset,11.36,5681,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,143,3,0,,10,
16,21,"B2,3,6,8,11,16,20,22,26,32,38,56,144(AFHR_fr_onset)",AFHR_fr_onset,17.266,8634,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,144,5,0,,16,
22,91,"B2,4,5,8,12,15,20,23,28,30,39,50,144(SFHP_fr_onset)",SFHP_fr_onset,23.798,11900,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,144,7,0,,22,
28,51,"B2,3,5,7,11,15,19,21,25,29,37,53,144(AMHP_fr_onset)",AMHP_fr_onset,29.884,14943,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,144,9,0,,28,
34,131,"B2,4,5,7,12,15,19,23,27,29,39,49,144(SMHP_fr_onset)",SMHP_fr_onset,36.118,18060,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,144,11,0,,34,
40,141,"B2,4,6,7,12,16,19,24,27,31,40,51,144(SMHR_fr_onset)",SMHR_fr_onset,43.222,21612,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,144,13,0,,40,
46,41,"B2,3,6,8,11,16,20,22,26,32,38,56,143(AFLR_fr_onset)",AFLR_fr_onset,50.354,25178,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,143,15,0,,46,
52,91,"B2,4,5,8,12,15,20,23,28,30,39,50,144(SFHP_fr_onset)",SFHP_fr_onset,56.678,28340,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,144,17,0,,52,
58,111,"B2,4,5,8,12,15,20,23,28,30,39,50,143(SFLP_fr_onset)",SFLP_fr_onset,63.646,31824,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,143,19,0,,58,
64,81,"B2,3,6,7,11,16,19,22,25,31,38,55,143(AMLR_fr_onset)",AMLR_fr_onset,70.462,35232,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,143,21,0,,64,
70,161,"B2,4,6,7,12,16,19,24,27,31,40,51,143(SMLR_fr_onset)",SMLR_fr_onset,76.166,38084,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,143,23,0,,70,
76,91,"B2,4,5,8,12,15,20,23,28,30,39,50,144(SFHP_fr_onset)",SFHP_fr_onset,83.994,41998,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,144,25,0,,76,
82,51,"B2,3,5,7,11,15,19,21,25,29,37,53,144(AMHP_fr_onset)",AMHP_fr_onset,90.284,45143,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,144,27,0,,82,
88,51,"B2,3,5,7,11,15,19,21,25,29,37,53,144(AMHP_fr_onset)",AMHP_fr_onset,96.228,48115,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,144,29,0,,88,
94,141,"B2,4,6,7,12,16,19,24,27,31,40,51,144(SMHR_fr_onset)",SMHR_fr_onset,102.182,51092,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,144,31,0,,94,
100,121,"B2,4,6,8,12,16,20,24,28,32,40,52,143(SFLR_fr_onset)",SFLR_fr_onset,108.29,54146,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,143,33,0,,100,
106,11,"B2,3,5,8,11,15,20,21,26,30,37,54,144(AFHP_fr_onset)",AFHP_fr_onset,114.978,57490,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,144,35,0,,106,
112,81,"B2,3,6,7,11,16,19,22,25,31,38,55,143(AMLR_fr_onset)",AMLR_fr_onset,121.99,60996,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,143,37,0,,112,
118,141,"B2,4,6,7,12,16,19,24,27,31,40,51,144(SMHR_fr_onset)",SMHR_fr_onset,128.638,64320,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,144,39,0,,118,
124,131,"B2,4,5,7,12,15,19,23,27,29,39,49,144(SMHP_fr_onset)",SMHP_fr_onset,135.198,67600,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,144,41,0,,124,
130,21,"B2,3,6,8,11,16,20,22,26,32,38,56,144(AFHR_fr_onset)",AFHR_fr_onset,141.634,70818,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,144,43,0,,130,
136,11,"B2,3,5,8,11,15,20,21,26,30,37,54,144(AFHP_fr_onset)",AFHP_fr_onset,147.984,73993,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,144,45,0,,136,
142,151,"B2,4,5,7,12,15,19,23,27,29,39,49,143(SMLP_fr_onset)",SMLP_fr_onset,154.686,77344,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,143,47,0,,142,
