type,urevent
boundary,1
boundary,
S130,16
boundary,
S139,21
S 20,22
S 21,23
S 23,24
S 25,25
S 27,26
S 29,27
boundary,
S160,28
S161,29
S163,30
S165,31
S167,32
S169,33
S100,34
S101,35
S103,36
S105,37
S107,38
S109,39
S110,40
S111,41
S113,42
S115,43
S117,44
S119,45
boundary,
S130,46
S131,47
S133,48
S135,49
S137,50
S139,51
S 50,52
S 51,53
S 53,54
S 55,55
S 57,56
S 59,57
S 20,58
S 21,59
S 23,60
S 25,61
S 27,62
S 29,63
S160,64
S161,65
S163,66
S165,67
S167,68
S169,69
S 10,70
S 11,71
S 13,72
S 15,73
S 17,74
S 19,75
S150,76
S151,77
S153,78
S155,79
S157,80
S159,81
S 60,82
S 61,83
S 63,84
S 65,85
S 67,86
S 69,87
S120,88
S121,89
S123,90
S125,91
S127,92
S129,93
S 90,94
S 91,95
S 93,96
S 95,97
S 97,98
S 99,99
S160,100
S161,101
boundary,
boundary,
S 81,107
S 83,108
S 85,109
S 87,110
S 89,111
S 30,112
S 31,113
S 33,114
boundary,
S 37,116
S 39,117
boundary,
S100,118
S101,119
S103,120
S105,121
S107,122
S109,123
S 90,124
S 91,125
S 93,126
S 95,127
S 97,128
S 99,129
S 30,130
S 31,131
S 33,132
S 35,133
S 37,134
S 39,135
S 50,136
S 51,137
S 53,138
S 55,139
S 57,140
S 59,141
S160,142
S161,143
S163,144
S165,145
S167,146
S169,147
S110,148
S111,149
S113,150
S115,151
S117,152
S119,153
S 60,154
S 61,155
S 63,156
S 65,157
S 67,158
S 69,159
S140,160
S141,161
S143,162
S145,163
S147,164
S149,165
S 90,166
S 91,167
S 93,168
S 95,169
S 97,170
S 99,171
S 60,172
S 61,173
S 63,174
boundary,
S 67,176
S 69,177
S 70,178
S 71,179
S 73,180
S 75,181
S 77,182
boundary,
S 69,189
boundary,
S 20,190
S 21,191
S 23,192
S 25,193
S 27,194
S 29,195
boundary,
S 50,196
S 51,197
S 53,198
S 55,199
S 57,200
S 59,201
S120,202
S121,203
S123,204
S125,205
S127,206
boundary,
S130,208
S131,209
S133,210
S135,211
S137,212
S139,213
boundary,
S 10,214
S 11,215
S 13,216
S 15,217
S 17,218
S 19,219
boundary,
boundary,
S 40,220
S 41,221
S 43,222
S 45,223
S 47,224
S 49,225
S 90,226
S 91,227
S 93,228
S 95,229
S 97,230
S 99,231
boundary,
S 70,232
S 71,233
S 73,234
S 75,235
S 77,236
S 79,237
S120,238
S121,239
S123,240
S125,241
S127,242
S129,243
S110,244
S111,245
S113,246
S115,247
S117,248
boundary,
S 60,250
S 61,251
S 63,252
boundary,
S 69,255
S140,256
S141,257
S143,258
S145,259
S147,260
S149,261
S110,262
S111,263
S113,264
S115,265
S117,266
S119,267
S160,268
S161,269
boundary,
S169,279
S 80,280
S 81,281
S 83,282
S 85,283
S 87,284
S 89,285
S 20,286
S 21,287
S 23,288
S 25,289
S 27,290
S 29,291
S 50,292
S 51,293
S 53,294
S 55,295
S 57,296
S 59,297
S 40,298
S 41,299
S 43,300
S 45,301
S 47,302
S 49,303
boundary,
S160,304
S161,305
S163,306
S165,307
S167,308
S169,309
boundary,
S 40,310
S 41,311
S 43,312
S 45,313
S 47,314
S 49,315
S 30,316
S 31,317
S 33,318
S 35,319
S 37,320
S 39,321
S140,322
S141,323
S143,324
S145,325
S147,326
S149,327
S100,328
S101,329
S103,330
S105,331
S107,332
S109,333
boundary,
S 90,334
S 91,335
S 93,336
S 95,337
S 97,338
S 99,339
S 80,340
S 81,341
S 83,342
S 85,343
S 87,344
S 89,345
S140,346
S141,347
S143,348
S145,349
S147,350
S149,351
boundary,
S160,352
S161,353
S163,354
S165,355
S167,356
S169,357
boundary,
S 10,358
S 11,359
S 13,360
S 15,361
S 17,362
S 19,363
S 40,364
S 41,365
S 43,366
S 45,367
S 47,368
S 49,369
S110,370
S111,371
S113,372
S115,373
S117,374
S119,375
boundary,
S130,376
S131,377
S133,378
S135,379
S137,380
S139,381
boundary,
S150,382
S151,383
S153,384
S155,385
S157,386
S159,387
boundary,
S143,390
S145,391
S147,392
S149,393
S110,394
S111,395
S113,396
S115,397
S117,398
S119,399
boundary,
S 70,400
S 71,401
S 73,402
S 75,403
S 77,404
boundary,
S120,406
S121,407
S123,408
S125,409
S127,410
S129,411
boundary,
S150,412
S151,413
S153,414
S155,415
S157,416
S159,417
S 60,418
S 61,419
S 63,420
S 65,421
S 67,422
S 69,423
boundary,
S 40,424
S 41,425
S 43,426
S 45,427
S 47,428
S 49,429
S 10,430
S 11,431
S 13,432
S 15,433
S 17,434
S 19,435
S110,436
S111,437
S113,438
S115,439
S117,440
S119,441
S130,442
S131,443
S133,444
S135,445
S137,446
S139,447
boundary,
S140,448
S141,449
S143,450
S145,451
S147,452
S149,453
S110,454
S111,455
S113,456
S115,457
S117,458
S119,459
S 50,460
S 51,461
S 53,462
S 55,463
S 57,464
S 59,465
S150,466
S151,467
S153,468
S155,469
S157,470
S159,471
boundary,
S120,472
S121,473
S123,474
S125,475
S127,476
S129,477
boundary,
S 70,478
S 71,479
S 73,480
S 75,481
S 77,482
S 79,483
boundary,
S150,484
S151,485
S153,486
S155,487
S157,488
S159,489
boundary,
S 60,490
S 61,491
S 63,492
S 65,493
S 67,494
S 69,495
boundary,
S 80,496
S 81,497
S 83,498
S 85,499
S 87,500
S 89,501
boundary,
S 70,502
S 71,503
S 73,504
S 75,505
S 77,506
S 79,507
S 10,508
S 11,509
S 13,510
S 15,511
S 17,512
boundary,
S 10,514
S 11,515
S 13,516
S 15,517
S 17,518
boundary,
S150,520
S151,521
S153,522
S155,523
S157,524
S159,525
S 80,526
S 81,527
S 83,528
S 85,529
S 87,530
S 89,531
S 40,532
S 41,533
S 43,534
S 45,535
S 47,536
S 49,537
S 50,538
S 51,539
S 53,540
S 55,541
S 57,542
S 59,543
S120,544
S121,545
S123,546
S125,547
S127,548
S129,549
boundary,
S 81,551
S 83,552
S 85,553
S 87,554
S 89,555
S 30,556
S 31,557
S 33,558
S 35,559
S 37,560
boundary,
S100,562
S101,563
S103,564
S105,565
S107,566
boundary,
boundary,
S 75,571
S 77,572
boundary,
S 51,575
S 53,576
S 55,577
boundary,
S160,580
S161,581
S163,582
S165,583
S167,584
S169,585
S 70,586
S 71,587
S 73,588
S 75,589
S 77,590
boundary,
S140,592
S141,593
S143,594
S145,595
S147,596
S149,597
S 30,598
S 31,599
S 33,600
S 35,601
S 37,602
S 39,603
S 80,604
S 81,605
S 83,606
S 85,607
S 87,608
S 89,609
S150,610
S151,611
S153,612
S155,613
S157,614
S159,615
S 60,616
S 61,617
S 63,618
S 65,619
S 67,620
S 69,621
boundary,
S 73,624
S 75,625
S 77,626
S 79,627
boundary,
S120,628
S121,629
S123,630
